"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Import",5,1073817789.339
"H4","All","27","All countries  All --- All  ","WLD"," World",2014,"Export",6,2671813832.834
"H4","All","27","All countries  All --- All  ","WLD"," World",2014,"Import",5,2975592756.708
"H4","All","27","All countries  All --- All  ","WLD"," World",2015,"Export",6,1675222617.714
"H4","All","27","All countries  All --- All  ","WLD"," World",2015,"Import",5,1849579588.929
"H4","All","27","All countries  All --- All  ","WLD"," World",2016,"Export",6,1388340596.089
"H4","All","27","All countries  All --- All  ","WLD"," World",2016,"Import",5,1528476341.119
"H4","All","27","All countries  All --- All  ","WLD"," World",2017,"Export",6,1813736987.329
"H4","All","27","All countries  All --- All  ","WLD"," World",2017,"Import",5,2005979496.214
"H4","All","27","All countries  All --- All  ","WLD"," World",2018,"Export",6,2294110623.38
"H4","All","27","All countries  All --- All  ","WLD"," World",2018,"Import",5,2566626840.971
"H4","All","27","All countries  All --- All  ","WLD"," World",2019,"Export",6,2180243867.054
"H4","All","27","All countries  All --- All  ","WLD"," World",2019,"Import",5,2362979752.029
"H4","All","27","All countries  All --- All  ","WLD"," World",2020,"Export",6,1470414852.852
"H4","All","27","All countries  All --- All  ","WLD"," World",2020,"Import",5,1610211882.101
"H4","All","27","All countries  All --- All  ","WLD"," World",2021,"Export",6,2374902780.572
"H4","All","27","All countries  All --- All  ","WLD"," World",2021,"Import",5,2599232360.545
"H4","All","27","All countries  All --- All  ","WLD"," World",2022,"Export",6,3470614073.723
"H4","All","27","All countries  All --- All  ","WLD"," World",2022,"Import",5,4166668927.292
"H4","All","27","All countries  All --- All  ","WLD"," World",2023,"Export",6,2739697002.845
"H4","All","27","All countries  All --- All  ","WLD"," World",2023,"Import",5,3308628096.347
"H4","All","27","All countries  All --- All  ","WLD"," World",2024,"Export",6,2295688418.128
"H4","All","27","All countries  All --- All  ","WLD"," World",2024,"Import",5,2967525637.692
"H4","All","27","All countries  All --- All  ","WLD"," World",2025,"Export",6,1104596416.197
"H4","All","27","All countries  All --- All  ","WLD"," World",2025,"Import",5,1073817789.349
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Export",6,112268336.718
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Import",5,126329635.103
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Export",6,105724392.555
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Import",5,117382429.369
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Export",6,96391750.37
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Import",5,106153853.688
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Export",6,113402100.608
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Import",5,119513827.642
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Export",6,139636454.833
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Import",5,138890831.704
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Export",6,124260851.078
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Import",5,130005771.525
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Export",6,114629807.71
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Import",5,117631924.604
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Export",6,158479998.597
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Import",5,156547357.127
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Export",6,216673195.866
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Import",5,224315289.012
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Export",6,189788535.331
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Import",5,196180867.029
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Export",6,169461455.747
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Import",5,171258781.225
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Export",6,74100016.145
"H4","All","28","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Import",5,81484510.848
"H4","All","28","All countries  All --- All  ","WLD"," World",2014,"Export",6,112268336.691
"H4","All","28","All countries  All --- All  ","WLD"," World",2014,"Import",5,126329635.087
"H4","All","28","All countries  All --- All  ","WLD"," World",2015,"Export",6,105724392.534
"H4","All","28","All countries  All --- All  ","WLD"," World",2015,"Import",5,117382429.356
"H4","All","28","All countries  All --- All  ","WLD"," World",2016,"Export",6,96391750.396
"H4","All","28","All countries  All --- All  ","WLD"," World",2016,"Import",5,106153853.656
"H4","All","28","All countries  All --- All  ","WLD"," World",2017,"Export",6,113402100.631
"H4","All","28","All countries  All --- All  ","WLD"," World",2017,"Import",5,119513827.647
"H4","All","28","All countries  All --- All  ","WLD"," World",2018,"Export",6,139636454.811
"H4","All","28","All countries  All --- All  ","WLD"," World",2018,"Import",5,138890831.711
"H4","All","28","All countries  All --- All  ","WLD"," World",2019,"Export",6,124260851.063
"H4","All","28","All countries  All --- All  ","WLD"," World",2019,"Import",5,130005771.487
"H4","All","28","All countries  All --- All  ","WLD"," World",2020,"Export",6,114629807.726
"H4","All","28","All countries  All --- All  ","WLD"," World",2020,"Import",5,117631924.601
"H4","All","28","All countries  All --- All  ","WLD"," World",2021,"Export",6,158479998.598
"H4","All","28","All countries  All --- All  ","WLD"," World",2021,"Import",5,156547357.106
"H4","All","28","All countries  All --- All  ","WLD"," World",2022,"Export",6,216673195.899
"H4","All","28","All countries  All --- All  ","WLD"," World",2022,"Import",5,224315289.023
"H4","All","28","All countries  All --- All  ","WLD"," World",2023,"Export",6,189788535.365
"H4","All","28","All countries  All --- All  ","WLD"," World",2023,"Import",5,196180867.025
"H4","All","28","All countries  All --- All  ","WLD"," World",2024,"Export",6,169461455.739
"H4","All","28","All countries  All --- All  ","WLD"," World",2024,"Import",5,171250117.957
"H4","All","28","All countries  All --- All  ","WLD"," World",2025,"Export",6,74100016.148
"H4","All","28","All countries  All --- All  ","WLD"," World",2025,"Import",5,81484510.847
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Export",6,404822106.72
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Import",5,438597807.966
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Export",6,339157439.47
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Import",5,374758871.482
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Export",6,332698365.417
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Import",5,362153734.537
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Export",6,369215129.825
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Import",5,405473794.97
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Export",6,431186113.272
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Import",5,474633911.129
